[22 set 22:44:09] Logged out, GT3(268484057) teste 25.7.147.96
[22 set 22:44:11] Logged in, GT3(268484057) teste 25.7.147.96
[22 set 22:52:39] Kicked by login, iJackson(268482624) jacksonxdc 25.7.147.96
[22 set 22:52:41] Kicked by login, iJackson(268482624) jacksonxdc 
[22 set 22:52:57] Logged in, GT3(268484057) teste 25.7.147.96
[22 set 22:54:54] Logged in, iJackson(268482624) jacksonxdc 25.7.147.96
[22 set 22:56:26] Logged out, Sammy(268483841) sammmy 25.5.107.18
[22 set 22:56:31] Logged in, Sammy(268483841) sammmy 25.5.107.18
[22 set 23:05:16] Disconnected, Sammy(268483841) sammmy 25.5.107.18
[22 set 23:07:47] Disconnected, iJackson(268482624) jacksonxdc 25.7.147.96
[22 set 23:08:09] Disconnected, ShillenTemplar(268484057) teste 25.7.147.96
[22 set 23:36:21] Logged out, Arioto(268483782) arioto87 25.5.2.38
[22 set 23:36:27] Logged in, Arioto(268483782) arioto87 25.5.2.38
[23 set 22:00:16] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[23 set 22:27:23] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[23 set 22:43:27] Logged in, Innie(268481918) innie 25.6.141.8
[23 set 22:49:05] Disconnected, iWings(268481265) ricardoxdc 25.6.152.4
[24 set 13:01:03] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[24 set 13:12:06] Logged in, Innie(268481918) innie 25.6.141.8
[24 set 13:27:17] Logged out, Innie(268481918) innie 25.6.141.8
[24 set 13:27:21] Logged in, Innie(268481918) innie 25.6.141.8
[24 set 13:32:30] Kicked by login, Innie(268481918) innie 25.6.141.8
[24 set 13:32:39] Logged in, Innie(268481918) innie 25.6.141.8
[24 set 13:33:19] Disconnected abnormally, Innie(268481918) innie 25.6.141.8
[24 set 13:34:02] Logged in, Innie(268481918) innie 25.6.141.8
[24 set 13:45:43] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[24 set 13:47:48] Disconnected, iWings(268481265) ricardoxdc 25.6.152.4
[25 Sep 0:16:23] Logged in, iWings(268481265) ricardoxdc 191.177.183.182
[25 Sep 0:18:06] Disconnected, iWings(268481265) ricardoxdc 191.177.183.182
[25 Sep 7:31:28] Logged in, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:31:29] Disconnected abnormally, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:31:51] Logged in, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:31:52] Disconnected abnormally, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:36:59] Logged in, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:37:00] Disconnected abnormally, iLeo(268481875) kakuso 201.21.129.56
[25 Sep 7:37:31] Created new character, ds(268487931), kakusoxd 201.21.129.56
[25 Sep 7:37:32] Logged in, ds(268487931) kakusoxd 201.21.129.56
[25 Sep 7:58:17] Disconnected, ds(268487931) kakusoxd 201.21.129.56
[25 Sep 9:59:39] Logged in, iWings(268481265) ricardoxdc 191.219.200.196
[25 Sep 12:45:31] Disconnected, iWings(268481265) ricardoxdc 191.219.200.196
[25 Sep 13:38:47] Logged in, iWings(268481265) ricardoxdc 191.219.200.196
[25 Sep 14:35:09] Created new character, Necro(268496777), ricardoxdc1 191.219.200.196
[25 Sep 14:35:23] Logged in, Necro(268496777) ricardoxdc1 191.219.200.196
[25 Sep 15:07:41] Disconnected, Necro(268496777) ricardoxdc1 191.219.200.196
[25 Sep 15:08:44] Disconnected, iWings(268481265) ricardoxdc 191.219.200.196
[25 Sep 18:39:45] Logged in, Innie(268481918) innie 187.53.105.81
[25 Sep 18:47:59] Logged in, Tester(268484144) innie2 187.53.105.81
[25 Sep 19:06:47] Logged out, Innie(268481918) innie 187.53.105.81
[25 Sep 19:06:49] Logged in, Innie(268481918) innie 187.53.105.81
[25 Sep 19:47:37] Logged out, Innie(268481918) innie 187.53.105.81
[25 Sep 19:47:40] Logged in, Innie(268481918) innie 187.53.105.81
[25 Sep 21:46:03] Logged in, Innie(268481918) innie 187.53.105.81
[25 Sep 21:46:16] Logged in, Tester(268484144) innie2 187.53.105.81
[25 Sep 21:53:54] Logged in, Innie(268481918) innie 187.53.105.81
[25 Sep 21:54:24] Logged in, Tester(268484144) innie2 187.53.105.81
